"sentiment","themeId","theme","reviewCount","reviewShare","examples"
"negative","ads","Ads interrupt core task","7","0.28","Please remove ads!! || Unremoval ads, uninstall || nonsense ads"
"negative","accuracy","Calculation accuracy and fee trust","4","0.16","When is the new update for 2025 new stamping rate tenancy || My only question is what is the basis legal fees are being calculated as different jurisdiction uses different method... || Legal fee Wrong"
"negative","reliability","Crashes, loading, unable to use","7","0.28","Crashes they time I open it || Keep crashing... unable to use it || Slow loading and legal calculator not working"
"negative","reporting","Report generation/export problems","3","0.12","I can't generate d report || Why cannot generate report.. error appear || Cant create report,i dont know why,before this can"
"negative","ux","Navigation and platform UX gaps","3","0.12","Please update your version to latest. In Apple apps store there have button at below, but not in android version || I not recommend to install this app anymore. Because this advertisement pop out will prevent u to click button for ca... || Difficult to use, can't use back button, when press back button staright exit apps"
"negative","updates","Need current rates and rule updates","3","0.12","Please update your version to latest. In Apple apps store there have button at below, but not in android version || When is the new update for 2025 new stamping rate tenancy || The new update keeps on crashing. I cant open more than 5 seconds. It close on its own"
"negative","first_home","First-time buyer handling","0","0",""
"negative","easy_useful","Easy, useful, convenient","1","0.04","Good"
"negative","agent_workflow","Useful for agents/property hunting","0","0",""
"negative","feature_depth","Feature depth/completeness","3","0.12","I not recommend to install this app anymore. Because this advertisement pop out will prevent u to click button for ca... || My only question is what is the basis legal fees are being calculated as different jurisdiction uses different method... || The SPA and loan legal fees seemed not right.. can you please check? Thanks"
"positive","ads","Ads interrupt core task","42","0.05991440798858773","Very useful apps. I had a problem when creating report and submited a complaints to the support team. They resolved i... || Great Property Calculator 👍👍 Highly recommend. Hopefully can hide the advertisement's.. will be much more prefect || Completely and everyone who's in properties sector, REN or developer's salesman must install this in their gadget."
"positive","accuracy","Calculation accuracy and fee trust","12","0.017118402282453638","Legal fee calculator is superb... thank you || Very detail in legal fees and stamp duty... || For the DSR percentage i noticed that the app took the 40% instead of 60% or 70% when calculated for the loan eligibi..."
"positive","reliability","Crashes, loading, unable to use","0","0",""
"positive","reporting","Report generation/export problems","4","0.005706134094151213","Very useful apps. I had a problem when creating report and submited a complaints to the support team. They resolved i... || Unable to generate report on samsung A series || User friendly...Very useful aps, especially for real-estate agent. But having problem to ""create report""(to pdf file)..."
"positive","ux","Navigation and platform UX gaps","3","0.0042796005706134095","why cannot use ""calculate"" button at mortgage option? I am using android hp Poco F5 Pro. || Sometimes, The ads popped up at the bottom part and blocked the 'calculate' button || Yr google ads will block the button on the calculator. U may consider to enhance it."
"positive","updates","Need current rates and rule updates","22","0.03138373751783167","All good until i click ""ELR/BR"", last updated 2020-08-06 || Please update your system, thanks. I like this apps || Very useful and comprehensive apps for all things related to real estate costing calculation. Super fast response for..."
"positive","first_home","First-time buyer handling","9","0.012838801711840228","good app for home buyer...even has its own income tax calculator || Letting home buyers know what they get into with all ths cash needed for subsale or new property. Keep up the good wo... || Was sceptical at first, downloaded and try it for the first time,it is the most complete mortgage app"
"positive","easy_useful","Easy, useful, convenient","520","0.7417974322396577","Good || Good || Good!"
"positive","agent_workflow","Useful for agents/property hunting","50","0.07132667617689016","This App is great it really helps my job as a real estate agent convenient in explaining to my clients what they want... || Very well designed app and useful for property owners, agent and buyer || Very useful and comprehensive apps for all things related to real estate costing calculation. Super fast response for..."
"positive","feature_depth","Feature depth/completeness","79","0.11269614835948645","why cannot use ""calculate"" button at mortgage option? I am using android hp Poco F5 Pro. || Very useful and comprehensive apps for all things related to real estate costing calculation. Super fast response for... || A very helpful apps contains a lot of information & all sorts of financial calculations. A must have apps in your phone"
"neutral","ads","Ads interrupt core task","5","0.29411764705882354","Good. But stamp duty calculation (spa & loan) for first home buyer is not correct/not up to date. The exemption 75% f... || App is good, but keep not able to download/create the report. Unstall n installed few times, still ghe same issue. An... || Unable to save report, already provide needed access"
"neutral","accuracy","Calculation accuracy and fee trust","3","0.17647058823529413","Good. But stamp duty calculation (spa & loan) for first home buyer is not correct/not up to date. The exemption 75% f... || hi. cannot generate legal fee , entry cost. system always show need to update. i reinstalled, got same problem || It will ne great if, the calculation in the Downpayment"
"neutral","reliability","Crashes, loading, unable to use","0","0",""
"neutral","reporting","Report generation/export problems","3","0.17647058823529413","App is good, but keep not able to download/create the report. Unstall n installed few times, still ghe same issue. An... || Unable to save report, already provide needed access || My HP yesterday notified that there is a virus infection with this app. Can the developer please respond on this matt..."
"neutral","ux","Navigation and platform UX gaps","1","0.058823529411764705","Can you make the same version on apple app for android user"
"neutral","updates","Need current rates and rule updates","3","0.17647058823529413","My HP yesterday notified that there is a virus infection with this app. Can the developer please respond on this matt... || Good apps but need several update . || hi. cannot generate legal fee , entry cost. system always show need to update. i reinstalled, got same problem"
"neutral","first_home","First-time buyer handling","1","0.058823529411764705","Good. But stamp duty calculation (spa & loan) for first home buyer is not correct/not up to date. The exemption 75% f..."
"neutral","easy_useful","Easy, useful, convenient","10","0.5882352941176471","Good. But stamp duty calculation (spa & loan) for first home buyer is not correct/not up to date. The exemption 75% f... || App is good, but keep not able to download/create the report. Unstall n installed few times, still ghe same issue. An... || My HP yesterday notified that there is a virus infection with this app. Can the developer please respond on this matt..."
"neutral","agent_workflow","Useful for agents/property hunting","0","0",""
"neutral","feature_depth","Feature depth/completeness","3","0.17647058823529413","Good. But stamp duty calculation (spa & loan) for first home buyer is not correct/not up to date. The exemption 75% f... || Ok app but a bit buggy, keypad not showing when on first field. I have to put cursor on 2d field then only keypad app... || It will ne great if, the calculation in the Downpayment"
